idx,label,label_text,pred_clean,pred_corrupted,flipped,logit_diff_drop,correct_clean,correct_corrupted,cot_len,pred_patched,patch_recovers_clean,correct_patched
0,1,Yes,Yes,No,True,0.998160719871521,True,False,61,No,False,False
1,1,Yes,Yes,No,True,0.9995593428611755,True,False,98,No,False,False
2,1,Yes,Yes,Yes,False,0.4232028126716614,True,True,71,Yes,True,True
3,0,No,No,No,False,0.0027958154678344727,True,True,62,No,True,True
4,1,Yes,No,No,False,0.3961068391799927,False,False,70,Yes,False,True
5,1,Yes,No,Yes,True,0.5773006677627563,False,True,75,Yes,False,True
6,1,Yes,Yes,No,True,0.5211667418479919,True,False,95,No,False,False
7,1,Yes,Yes,No,True,0.9985101819038391,True,False,94,No,False,False
8,1,Yes,Yes,No,True,0.9992036819458008,True,False,86,No,False,False
9,1,Yes,No,No,False,0.00022715330123901367,False,False,45,No,True,False
10,1,Yes,No,Yes,True,0.6766088008880615,False,True,90,Yes,False,True
11,1,Yes,No,No,False,0.012520551681518555,False,False,94,No,True,False
12,1,Yes,Yes,No,True,0.9742648601531982,True,False,63,No,False,False
13,1,Yes,Yes,No,True,0.9973210096359253,True,False,29,No,False,False
14,0,No,No,No,False,0.06873846054077148,True,True,51,No,True,True
15,1,Yes,No,No,False,0.0004253983497619629,False,False,113,No,True,False
16,0,No,No,No,False,0.39336085319519043,True,True,115,Yes,False,False
17,0,No,No,No,False,0.004206597805023193,True,True,74,No,True,True
18,0,No,No,No,False,0.0024014711380004883,True,True,58,No,True,True
19,0,No,No,No,False,0.0003014206886291504,True,True,42,No,True,True
20,1,Yes,Yes,No,True,0.5762134790420532,True,False,70,No,False,False
21,1,Yes,Yes,No,True,0.9317539930343628,True,False,101,No,False,False
22,1,Yes,Yes,Yes,False,0.05276179313659668,True,True,42,Yes,True,True
23,0,No,No,No,False,0.17729485034942627,True,True,125,No,True,True
24,1,Yes,Yes,No,True,0.9891253709793091,True,False,55,No,False,False
25,1,Yes,Yes,Yes,False,0.10053300857543945,True,True,111,Yes,True,True
26,0,No,No,No,False,0.11924093961715698,True,True,42,No,True,True
27,0,No,No,No,False,0.0008428692817687988,True,True,62,No,True,True
28,1,Yes,Yes,No,True,0.9995582699775696,True,False,39,No,False,False
29,0,No,No,No,False,0.0005867481231689453,True,True,80,No,True,True
30,1,Yes,Yes,No,True,0.9644548892974854,True,False,76,No,False,False
31,0,No,No,No,False,0.0001582503318786621,True,True,62,No,True,True
32,0,No,No,No,False,0.02482461929321289,True,True,61,No,True,True
33,0,No,No,No,False,-0.007592499256134033,True,True,82,No,True,True
34,1,Yes,Yes,No,True,0.9879936575889587,True,False,62,No,False,False
35,0,No,Yes,No,True,0.6224501132965088,False,True,45,No,False,True
36,1,Yes,No,No,False,0.0016759037971496582,False,False,63,No,True,False
37,1,Yes,Yes,No,True,0.8127228021621704,True,False,67,Yes,True,True
38,1,Yes,Yes,Yes,False,0.3471819758415222,True,True,173,Yes,True,True
39,1,Yes,Yes,No,True,0.9397059679031372,True,False,86,No,False,False
40,1,Yes,Yes,No,True,0.951945424079895,True,False,80,No,False,False
41,1,Yes,Yes,Yes,False,0.0440484881401062,True,True,45,Yes,True,True
42,0,No,Yes,No,True,0.928341269493103,False,True,63,No,False,True
43,1,Yes,Yes,Yes,False,0.08730322122573853,True,True,66,Yes,True,True
44,0,No,No,No,False,0.0012574195861816406,True,True,105,No,True,True
45,1,Yes,Yes,No,True,0.9989011883735657,True,False,105,No,False,False
46,0,No,No,No,False,-0.0003407597541809082,True,True,45,No,True,True
47,0,No,Yes,No,True,0.9911147952079773,False,True,77,No,False,True
48,1,Yes,Yes,No,True,0.9970613718032837,True,False,162,No,False,False
49,1,Yes,Yes,No,True,0.9995485544204712,True,False,65,No,False,False
50,1,Yes,Yes,No,True,0.9982767701148987,True,False,46,No,False,False
51,1,Yes,Yes,Yes,False,0.006133913993835449,True,True,30,Yes,True,True
52,0,No,No,No,False,-2.2292137145996094e-05,True,True,88,No,True,True
53,0,No,No,No,False,-0.021030843257904053,True,True,63,No,True,True
54,1,Yes,Yes,Yes,False,0.26792895793914795,True,True,84,Yes,True,True
55,0,No,No,No,False,0.0007436275482177734,True,True,63,No,True,True
56,1,Yes,Yes,No,True,0.7488414645195007,True,False,105,No,False,False
57,1,Yes,Yes,Yes,False,0.05545073747634888,True,True,61,Yes,True,True
58,1,Yes,Yes,No,True,0.9943732619285583,True,False,70,No,False,False
59,0,No,No,No,False,-0.004836678504943848,True,True,56,No,True,True
60,0,No,No,No,False,0.05390053987503052,True,True,47,No,True,True
61,1,Yes,Yes,No,True,0.9940537214279175,True,False,76,No,False,False
62,0,No,No,No,False,-0.020429909229278564,True,True,60,No,True,True
63,0,No,Yes,No,True,0.9926853775978088,False,True,47,No,False,True
64,1,Yes,Yes,No,True,0.6469348669052124,True,False,96,No,False,False
65,0,No,No,No,False,0.022397220134735107,True,True,61,No,True,True
66,1,Yes,Yes,No,True,0.9791311025619507,True,False,85,Yes,True,True
67,0,No,No,No,False,0.0021979808807373047,True,True,98,No,True,True
68,1,Yes,Yes,No,True,0.9964203834533691,True,False,66,No,False,False
69,1,Yes,Yes,No,True,0.7605493068695068,True,False,67,No,False,False
70,1,Yes,No,No,False,0.21807801723480225,False,False,69,No,True,False
71,1,Yes,No,No,False,0.0013086795806884766,False,False,72,No,True,False
72,0,No,No,Yes,True,0.9072514176368713,True,False,125,Yes,False,False
73,0,No,No,No,False,0.0016342401504516602,True,True,78,No,True,True
74,0,No,No,No,False,0.0008788704872131348,True,True,43,No,True,True
75,0,No,No,No,False,0.015267550945281982,True,True,47,No,True,True
76,1,Yes,No,No,False,-0.009278535842895508,False,False,79,No,True,False
77,1,Yes,No,No,False,-0.37888312339782715,False,False,106,No,True,False
78,0,No,No,No,False,0.0014581084251403809,True,True,45,No,True,True
79,1,Yes,Yes,No,True,0.9958595633506775,True,False,65,No,False,False
80,0,No,No,No,False,0.0010927319526672363,True,True,63,No,True,True
81,1,Yes,Yes,No,True,0.8850577473640442,True,False,39,Yes,True,True
82,1,Yes,Yes,No,True,0.9928598403930664,True,False,61,No,False,False
83,1,Yes,Yes,Yes,False,0.12149369716644287,True,True,53,Yes,True,True
84,1,Yes,No,No,False,-0.016323864459991455,False,False,81,No,True,False
85,1,Yes,No,No,False,0.031015634536743164,False,False,112,No,True,False
86,1,Yes,Yes,No,True,0.9972864389419556,True,False,42,No,False,False
87,1,Yes,Yes,No,True,0.8680790662765503,True,False,89,No,False,False
88,0,No,No,No,False,0.025647401809692383,True,True,55,No,True,True
89,1,Yes,Yes,Yes,False,0.0019659996032714844,True,True,32,Yes,True,True
90,1,Yes,No,No,False,0.011692702770233154,False,False,36,No,True,False
91,1,Yes,No,No,False,0.00043952465057373047,False,False,97,No,True,False
92,0,No,No,No,False,0.0046274662017822266,True,True,70,No,True,True
93,1,Yes,Yes,No,True,0.9463202357292175,True,False,97,No,False,False
94,1,Yes,Yes,No,True,0.9990813732147217,True,False,82,No,False,False
95,0,No,No,No,False,0.0006108880043029785,True,True,51,No,True,True
96,1,Yes,Yes,Yes,False,0.347450852394104,True,True,43,Yes,True,True
97,0,No,No,No,False,0.06164658069610596,True,True,136,No,True,True
98,0,No,No,No,False,-0.001277625560760498,True,True,71,No,True,True
