idx,label,label_text,parsed_answer,pred_clean,pred_corrupted,flipped,logit_diff_drop,correct_clean,correct_corrupted,cot_len,p_clean,p_corrupted,pred_patched,patch_recovers_clean,correct_patched,p_patched
20,0,entailment,entailment,entailment,entailment,False,0.011054456233978271,True,True,102,"[0.9982286095619202, 4.1976832676482445e-08, 5.648600520657965e-08]","[0.9871741533279419, 1.8829301552614197e-05, 0.00012867491750512272]",entailment,True,True,"[0.9871741533279419, 1.8829301552614197e-05, 0.00012867491750512272]"
95,1,neutral,neutral,neutral,neutral,False,0.06829994916915894,True,True,59,"[0.00019559526117518544, 0.931729257106781, 0.02260773815214634]","[0.014511981047689915, 0.8634293079376221, 0.01892719231545925]",neutral,True,True,"[0.014511981047689915, 0.8634293079376221, 0.01892719231545925]"
164,1,neutral,contradiction,contradiction,contradiction,False,0.2038211226463318,False,False,69,"[1.642079405428376e-05, 1.950017576746177e-05, 0.9986637830734253]","[0.005790792405605316, 0.10757025331258774, 0.7948426604270935]",contradiction,True,False,"[0.005790792405605316, 0.10757025331258774, 0.7948426604270935]"
165,1,neutral,,entailment,entailment,False,0.11326920986175537,False,False,161,"[0.9847058653831482, 0.005248634610325098, 0.0004111048183403909]","[0.8714366555213928, 0.059302009642124176, 0.03486185520887375]",entailment,True,False,"[0.8714366555213928, 0.059302009642124176, 0.03486185520887375]"
177,2,contradiction,contradiction,contradiction,contradiction,False,0.36104094982147217,True,True,114,"[6.714360978321565e-08, 6.871535007668683e-10, 0.9991932511329651]","[0.20717771351337433, 0.032780274748802185, 0.6381523013114929]",contradiction,True,True,"[0.20717771351337433, 0.032780274748802185, 0.6381523013114929]"
266,1,neutral,contradiction,contradiction,contradiction,False,0.1706361174583435,False,False,94,"[0.0010798490839079022, 0.0001472878793720156, 0.9971948862075806]","[0.11723096668720245, 0.011975896544754505, 0.8265587687492371]",contradiction,True,False,"[0.11723096668720245, 0.011975896544754505, 0.8265587687492371]"
281,1,neutral,entailment,entailment,entailment,False,0.0074294209480285645,False,False,76,"[0.9975482821464539, 5.3331188354377446e-09, 8.342400548144724e-08]","[0.9901188611984253, 0.00023187659098766744, 6.375454177032225e-06]",entailment,True,False,"[0.9901188611984253, 0.00023187659098766744, 6.375454177032225e-06]"
297,1,neutral,entailment,entailment,entailment,False,0.0057863593101501465,False,False,73,"[0.9983491897583008, 4.477018755721929e-09, 4.231117500808068e-08]","[0.9925628304481506, 1.2487064395827474e-06, 1.764664557413198e-05]",entailment,True,False,"[0.9925628304481506, 1.2487064395827474e-06, 1.764664557413198e-05]"
304,1,neutral,entailment,entailment,entailment,False,0.0776604413986206,False,False,101,"[0.9957842230796814, 7.884458597118282e-08, 4.466850214157603e-07]","[0.9181237816810608, 0.009732368402183056, 0.029283370822668076]",entailment,True,False,"[0.9181237816810608, 0.009732368402183056, 0.029283370822668076]"
320,1,neutral,contradiction,contradiction,entailment,True,0.8261618614196777,False,False,132,"[9.353459972771816e-06, 1.6901357184906374e-06, 0.998362123966217]","[0.6298824548721313, 0.09435796737670898, 0.1722002774477005]",entailment,False,False,"[0.6298824548721313, 0.09435796737670898, 0.1722002774477005]"
323,0,entailment,entailment,entailment,entailment,False,0.015162527561187744,True,True,59,"[0.9968051910400391, 3.213886046182779e-08, 1.1848108982803751e-07]","[0.9816426634788513, 0.0005645591299980879, 1.5103877558431122e-05]",entailment,True,True,"[0.9816426634788513, 0.0005645591299980879, 1.5103877558431122e-05]"
363,1,neutral,entailment,entailment,entailment,False,0.0007796287536621094,False,False,79,"[0.9915596842765808, 0.0003653239400591701, 0.00034319006954319775]","[0.9907800555229187, 8.806920232018456e-05, 0.0010318002896383405]",entailment,True,False,"[0.9907800555229187, 8.806920232018456e-05, 0.0010318002896383405]"
393,1,neutral,,entailment,entailment,False,0.05477786064147949,False,False,160,"[0.9962649941444397, 8.072919555068836e-10, 7.394775902724859e-09]","[0.9414871335029602, 0.016073118895292282, 0.006648130714893341]",entailment,True,False,"[0.9414871335029602, 0.016073118895292282, 0.006648130714893341]"
401,2,contradiction,contradiction,contradiction,contradiction,False,0.04277759790420532,True,True,89,"[5.458542545966338e-06, 4.200335723680837e-08, 0.9988594055175781]","[0.006857503205537796, 0.007414729334414005, 0.9560818076133728]",contradiction,True,True,"[0.006857503205537796, 0.007414729334414005, 0.9560818076133728]"
442,2,contradiction,neutral,neutral,entailment,True,0.7280175685882568,False,False,149,"[0.0031675011850893497, 0.7281033396720886, 0.1729397028684616]","[0.9724624752998352, 8.576827531214803e-05, 0.009240365587174892]",entailment,False,False,"[0.9724624752998352, 8.576827531214803e-05, 0.009240365587174892]"
508,1,neutral,contradiction,contradiction,entailment,True,0.9127068519592285,False,False,102,"[4.4135450139037857e-07, 5.342993159018761e-09, 0.9993952512741089]","[0.8485850691795349, 0.012104415334761143, 0.08668842166662216]",entailment,False,False,"[0.8485850691795349, 0.012104415334761143, 0.08668842166662216]"
537,2,contradiction,contradiction,contradiction,contradiction,False,0.03835344314575195,True,True,33,"[4.522622111835517e-05, 0.0001288375206058845, 0.9961737990379333]","[0.006353686563670635, 0.011064290069043636, 0.9578203558921814]",contradiction,True,True,"[0.006353686563670635, 0.011064290069043636, 0.9578203558921814]"
577,1,neutral,contradiction,contradiction,contradiction,False,-0.05102747678756714,False,False,93,"[0.0014784367522224784, 0.11206850409507751, 0.8411207795143127]","[0.046914175152778625, 0.0008459414239041507, 0.8921482563018799]",contradiction,True,False,"[0.046914175152778625, 0.0008459414239041507, 0.8921482563018799]"
