idx,label,label_text,pred_clean,pred_corrupted,flipped,logit_diff_drop,correct_clean,correct_corrupted,cot_len,corrupted_cot_text
0,1,Yes,Yes,Yes,False,0.04211503267288208,True,True,61,
1,1,Yes,Yes,Yes,False,0.006496608257293701,True,True,98,
2,1,Yes,Yes,No,True,0.8613206148147583,True,False,71,
3,0,No,No,No,False,0.0016850829124450684,True,True,62,
4,1,Yes,No,No,False,0.0030501484870910645,False,False,70,
5,1,Yes,No,No,False,-0.005117654800415039,False,False,75,
6,1,Yes,Yes,Yes,False,0.05281907320022583,True,True,95,
7,1,Yes,Yes,Yes,False,0.0185508131980896,True,True,94,
8,1,Yes,Yes,Yes,False,0.05680727958679199,True,True,86,
9,1,Yes,No,No,False,0.24075663089752197,False,False,45,
10,1,Yes,No,No,False,0.10020190477371216,False,False,90,
11,1,Yes,No,No,False,0.23454201221466064,False,False,94,
12,1,Yes,Yes,Yes,False,0.05836939811706543,True,True,63,
13,1,Yes,Yes,Yes,False,0.0047016143798828125,True,True,29,
14,0,No,No,No,False,0.0010271072387695312,True,True,51,
15,1,Yes,No,No,False,0.001601099967956543,False,False,113,
16,0,No,No,No,False,0.0018521547317504883,True,True,115,
17,0,No,No,No,False,0.021382153034210205,True,True,74,
18,0,No,No,No,False,0.00033658742904663086,True,True,58,
19,0,No,No,No,False,0.0008499026298522949,True,True,42,
20,1,Yes,Yes,Yes,False,0.019747138023376465,True,True,70,
21,1,Yes,Yes,Yes,False,0.16246777772903442,True,True,101,
22,1,Yes,Yes,Yes,False,0.001126408576965332,True,True,42,
23,0,No,No,No,False,0.029985427856445312,True,True,125,
24,1,Yes,Yes,Yes,False,0.012889981269836426,True,True,55,
25,1,Yes,Yes,Yes,False,0.021887600421905518,True,True,111,
26,0,No,No,No,False,0.0093156099319458,True,True,42,
27,0,No,No,No,False,0.0022371411323547363,True,True,62,
28,1,Yes,Yes,Yes,False,0.0038130879402160645,True,True,39,
29,0,No,No,No,False,0.0026683807373046875,True,True,80,
30,1,Yes,Yes,Yes,False,0.1867384910583496,True,True,76,
31,0,No,No,No,False,0.005678296089172363,True,True,62,
32,0,No,No,No,False,0.19098204374313354,True,True,61,
33,0,No,No,No,False,0.0009095668792724609,True,True,82,
34,1,Yes,Yes,Yes,False,0.006127834320068359,True,True,62,
35,0,No,Yes,Yes,False,0.11364316940307617,False,False,45,
36,1,Yes,No,No,False,0.003676116466522217,False,False,63,
37,1,Yes,Yes,Yes,False,0.04017031192779541,True,True,67,
38,1,Yes,Yes,Yes,False,0.04588109254837036,True,True,173,
39,1,Yes,Yes,Yes,False,0.011993825435638428,True,True,86,
40,1,Yes,Yes,Yes,False,0.02957695722579956,True,True,80,
41,1,Yes,Yes,Yes,False,0.0008311867713928223,True,True,45,
42,0,No,Yes,No,True,0.8928946256637573,False,True,63,
