idx,label,label_text,pred_clean,pred_corrupted,flipped,logit_diff_drop,correct_clean,correct_corrupted,cot_len,pred_patched,patch_recovers_clean,correct_patched
0,1,Yes,Yes,Yes,False,0.10195285081863403,True,True,61,Yes,True,True
1,1,Yes,Yes,Yes,False,0.014299094676971436,True,True,98,Yes,True,True
2,1,Yes,Yes,No,True,0.5340238809585571,True,False,71,No,False,False
3,0,No,No,No,False,0.003743469715118408,True,True,62,No,True,True
4,1,Yes,No,No,False,0.07826060056686401,False,False,70,No,True,False
5,1,Yes,No,No,False,0.012289345264434814,False,False,75,No,True,False
6,1,Yes,Yes,Yes,False,0.21834897994995117,True,True,95,Yes,True,True
7,1,Yes,Yes,Yes,False,0.06752949953079224,True,True,94,Yes,True,True
8,1,Yes,Yes,Yes,False,0.004161536693572998,True,True,86,Yes,True,True
9,1,Yes,No,No,False,0.04358994960784912,False,False,45,No,True,False
10,1,Yes,No,No,False,0.06462424993515015,False,False,90,No,True,False
11,1,Yes,No,No,False,0.4620704650878906,False,False,94,No,True,False
12,1,Yes,Yes,Yes,False,0.021161437034606934,True,True,63,Yes,True,True
13,1,Yes,Yes,Yes,False,0.011931419372558594,True,True,29,Yes,True,True
14,0,No,No,No,False,0.0070948004722595215,True,True,51,No,True,True
15,1,Yes,No,No,False,0.1674373745918274,False,False,113,No,True,False
16,0,No,No,No,False,0.00939089059829712,True,True,115,No,True,True
17,0,No,No,No,False,0.0002576112747192383,True,True,74,No,True,True
18,0,No,No,No,False,0.0050716400146484375,True,True,58,No,True,True
19,0,No,No,No,False,0.001536726951599121,True,True,42,No,True,True
20,1,Yes,Yes,Yes,False,0.01640421152114868,True,True,70,Yes,True,True
21,1,Yes,Yes,Yes,False,0.04924196004867554,True,True,101,Yes,True,True
22,1,Yes,Yes,Yes,False,0.016937613487243652,True,True,42,Yes,True,True
23,0,No,No,No,False,0.011834859848022461,True,True,125,No,True,True
24,1,Yes,Yes,Yes,False,0.005880892276763916,True,True,55,Yes,True,True
25,1,Yes,Yes,Yes,False,0.006614089012145996,True,True,111,Yes,True,True
26,0,No,No,No,False,0.009991884231567383,True,True,42,No,True,True
27,0,No,No,No,False,0.014045238494873047,True,True,62,No,True,True
28,1,Yes,Yes,Yes,False,0.005008220672607422,True,True,39,Yes,True,True
29,0,No,No,No,False,0.004902780055999756,True,True,80,No,True,True
30,1,Yes,Yes,No,True,0.6596609354019165,True,False,76,No,False,False
31,0,No,No,No,False,0.005333662033081055,True,True,62,No,True,True
32,0,No,No,Yes,True,0.9367737174034119,True,False,61,Yes,False,False
33,0,No,No,No,False,0.39297181367874146,True,True,82,No,True,True
34,1,Yes,Yes,Yes,False,0.034764111042022705,True,True,62,Yes,True,True
35,0,No,Yes,Yes,False,0.052952587604522705,False,False,45,Yes,True,False
36,1,Yes,No,No,False,0.02757042646408081,False,False,63,No,True,False
37,1,Yes,Yes,Yes,False,0.005036711692810059,True,True,67,Yes,True,True
38,1,Yes,Yes,Yes,False,0.038615286350250244,True,True,173,Yes,True,True
39,1,Yes,Yes,Yes,False,0.015637874603271484,True,True,86,Yes,True,True
40,1,Yes,Yes,Yes,False,0.010999739170074463,True,True,80,Yes,True,True
41,1,Yes,Yes,Yes,False,0.00422215461730957,True,True,45,Yes,True,True
42,0,No,Yes,No,True,0.922605037689209,False,True,63,No,False,True
43,1,Yes,Yes,Yes,False,0.004624009132385254,True,True,66,Yes,True,True
44,0,No,No,No,False,0.01021796464920044,True,True,105,No,True,True
45,1,Yes,Yes,No,True,0.6719586849212646,True,False,105,No,False,False
46,0,No,No,No,False,-0.0004875063896179199,True,True,45,No,True,True
47,0,No,Yes,No,True,0.9493522644042969,False,True,77,No,False,True
