idx,label,label_text,pred,pred_text,correct,commitment_layer,final_p_correct
0,1,Yes,1,Yes,True,30,0.9509933590888977
1,1,Yes,1,Yes,True,30,0.9944572448730469
2,1,Yes,1,Yes,True,31,0.8518972396850586
3,0,No,0,No,True,29,0.9994210004806519
4,1,Yes,0,No,False,-1,0.08162011206150055
5,1,Yes,0,No,False,-1,0.015324615873396397
6,1,Yes,1,Yes,True,30,0.9776837825775146
7,1,Yes,1,Yes,True,30,0.9871152639389038
8,1,Yes,1,Yes,True,30,0.9932330250740051
9,1,Yes,0,No,False,-1,0.1247820109128952
10,1,Yes,0,No,False,-1,0.11350709944963455
11,1,Yes,0,No,False,-1,0.30544358491897583
12,1,Yes,1,Yes,True,30,0.9853492379188538
13,1,Yes,1,Yes,True,30,0.9838295578956604
14,0,No,0,No,True,29,0.9987421631813049
15,1,Yes,0,No,False,-1,0.0008135628886520863
16,0,No,0,No,True,27,0.998786985874176
17,0,No,0,No,True,27,0.9130348563194275
18,0,No,0,No,True,30,0.9992563128471375
19,0,No,0,No,True,29,0.9803789854049683
20,1,Yes,1,Yes,True,30,0.9941774606704712
21,1,Yes,1,Yes,True,-1,0.7630148530006409
22,1,Yes,1,Yes,True,30,0.960071325302124
23,0,No,0,No,True,28,0.996491014957428
24,1,Yes,1,Yes,True,30,0.9973480701446533
25,1,Yes,1,Yes,True,30,0.9845941066741943
26,0,No,0,No,True,28,0.9996331930160522
27,0,No,0,No,True,27,0.9984357953071594
28,1,Yes,1,Yes,True,30,0.9921035766601562
29,0,No,0,No,True,29,0.9971815347671509
30,1,Yes,1,Yes,True,30,0.9943130016326904
31,0,No,0,No,True,30,0.9988247752189636
32,0,No,1,Yes,False,-1,0.035877276211977005
33,0,No,0,No,True,27,0.9231420159339905
34,1,Yes,1,Yes,True,31,0.8903881907463074
35,0,No,1,Yes,False,-1,0.014743400737643242
36,1,Yes,0,No,False,-1,0.004188493825495243
37,1,Yes,1,Yes,True,30,0.9854135513305664
38,1,Yes,1,Yes,True,30,0.9978092312812805
39,1,Yes,1,Yes,True,30,0.9398548007011414
40,1,Yes,1,Yes,True,30,0.9939437508583069
41,1,Yes,1,Yes,True,30,0.9922479391098022
42,0,No,0,No,True,29,0.9960771203041077
43,1,Yes,1,Yes,True,30,0.9961095452308655
44,0,No,0,No,True,29,0.996901273727417
45,1,Yes,1,Yes,True,-1,0.6943790912628174
46,0,No,0,No,True,28,0.9995293617248535
47,0,No,0,No,True,27,0.7662854194641113
48,1,Yes,1,Yes,True,30,0.9831063747406006
49,1,Yes,1,Yes,True,30,0.9968165755271912
50,1,Yes,1,Yes,True,31,0.8833651542663574
51,1,Yes,1,Yes,True,30,0.9163700342178345
52,0,No,0,No,True,29,0.9992679953575134
53,0,No,0,No,True,27,0.8386142253875732
54,1,Yes,1,Yes,True,30,0.9831225275993347
55,0,No,0,No,True,28,0.9988559484481812
56,1,Yes,1,Yes,True,-1,0.6852326989173889
57,1,Yes,1,Yes,True,30,0.9602112174034119
58,1,Yes,1,Yes,True,30,0.9931545257568359
59,0,No,0,No,True,29,0.9991243481636047
60,0,No,0,No,True,27,0.9993873834609985
61,1,Yes,1,Yes,True,30,0.9866733551025391
62,0,No,0,No,True,27,0.9853423833847046
63,0,No,0,No,True,30,0.5929869413375854
64,1,Yes,1,Yes,True,-1,0.5312314629554749
65,0,No,0,No,True,28,0.9993094205856323
66,1,Yes,1,Yes,True,30,0.9987488985061646
67,0,No,0,No,True,29,0.997804582118988
68,1,Yes,1,Yes,True,30,0.9915086030960083
69,1,Yes,1,Yes,True,31,0.885290265083313
70,1,Yes,1,Yes,True,31,0.8539860844612122
71,1,Yes,0,No,False,-1,0.054354529827833176
72,0,No,0,No,True,27,0.8686702847480774
73,0,No,0,No,True,28,0.9986793398857117
74,0,No,0,No,True,29,0.9997801184654236
75,0,No,0,No,True,29,0.999309778213501
76,1,Yes,1,Yes,True,-1,0.4694264829158783
77,1,Yes,0,No,False,-1,0.2782178521156311
78,0,No,0,No,True,29,0.9994162321090698
79,1,Yes,1,Yes,True,-1,0.6476302146911621
80,0,No,0,No,True,29,0.9984046816825867
81,1,Yes,1,Yes,True,30,0.9771701693534851
82,1,Yes,1,Yes,True,30,0.9622794985771179
83,1,Yes,1,Yes,True,31,0.8690710067749023
84,1,Yes,1,Yes,True,-1,0.5136186480522156
85,1,Yes,1,Yes,True,-1,0.7780684232711792
86,1,Yes,1,Yes,True,31,0.8278393745422363
87,1,Yes,1,Yes,True,31,0.9093124866485596
88,0,No,0,No,True,28,0.9319302439689636
89,1,Yes,1,Yes,True,30,0.9955856800079346
90,1,Yes,0,No,False,-1,0.17499932646751404
91,1,Yes,0,No,False,-1,0.0008685876964591444
92,0,No,0,No,True,27,0.9813119769096375
93,1,Yes,1,Yes,True,30,0.9852442741394043
94,1,Yes,1,Yes,True,31,0.9399272203445435
95,0,No,0,No,True,29,0.9991734623908997
96,1,Yes,1,Yes,True,30,0.9989098310470581
97,0,No,0,No,True,30,0.999452531337738
98,0,No,0,No,True,27,0.9970399737358093
