idx,label,label_text,parsed_answer,pred_clean,pred_corrupted,flipped,logit_diff_drop,correct_clean,correct_corrupted,cot_len,p_clean,p_corrupted,pred_patched,patch_recovers_clean,correct_patched,p_patched
20,0,entailment,entailment,entailment,contradiction,True,0.9973692893981934,True,False,102,"[0.9982286095619202, 4.1976832676482445e-08, 5.648600520657965e-08]","[0.0008593314560130239, 0.004573480691760778, 0.9875966906547546]",contradiction,False,False,"[0.0008330204291269183, 0.004503265488892794, 0.9877482652664185]"
95,1,neutral,neutral,neutral,entailment,True,0.9314896464347839,True,False,59,"[0.00019559526117518544, 0.931729257106781, 0.02260773815214634]","[0.9763676524162292, 0.00023962963314261287, 0.011190769262611866]",entailment,False,False,"[0.9838993549346924, 7.42242846172303e-05, 0.005942611023783684]"
164,1,neutral,contradiction,contradiction,contradiction,False,0.0013056397438049316,False,False,69,"[1.642079405428376e-05, 1.950017576746177e-05, 0.9986637830734253]","[9.967628284357488e-05, 0.00015681279182899743, 0.9973581433296204]",contradiction,True,False,"[9.736725769471377e-05, 0.00015559243911411613, 0.9973579049110413]"
165,1,neutral,,entailment,entailment,False,0.0025579333305358887,False,False,161,"[0.9847058653831482, 0.005248634610325098, 0.0004111048183403909]","[0.9821479320526123, 0.0007424809737131, 0.0008817179477773607]",entailment,True,False,"[0.9873861074447632, 0.00043880994780920446, 0.00022765160247217864]"
177,2,contradiction,contradiction,contradiction,contradiction,False,0.07697629928588867,True,True,114,"[6.714360978321565e-08, 6.871535007668683e-10, 0.9991932511329651]","[0.006022668909281492, 0.04663752391934395, 0.9222169518470764]",contradiction,True,True,"[0.016880366951227188, 0.028269292786717415, 0.9216367602348328]"
266,1,neutral,contradiction,contradiction,contradiction,False,-3.153085708618164e-05,False,False,94,"[0.0010798490839079022, 0.0001472878793720156, 0.9971948862075806]","[0.0010798833100125194, 8.070964395301417e-05, 0.9972264170646667]",contradiction,True,False,"[0.001096889260224998, 8.008159056771547e-05, 0.9972267746925354]"
281,1,neutral,entailment,entailment,entailment,False,0.00947636365890503,False,False,76,"[0.9975482821464539, 5.3331188354377446e-09, 8.342400548144724e-08]","[0.9880719184875488, 0.0002747909747995436, 0.0051045408472418785]",entailment,True,False,"[0.9878324270248413, 0.0002747243852354586, 0.005265299696475267]"
297,1,neutral,entailment,entailment,neutral,True,0.9824180006980896,False,True,73,"[0.9983491897583008, 4.477018755721929e-09, 4.231117500808068e-08]","[0.01593121699988842, 0.911558210849762, 0.003610713640227914]",neutral,False,True,"[0.01593114249408245, 0.9115539193153381, 0.003610696643590927]"
304,1,neutral,entailment,entailment,contradiction,True,0.9924190640449524,False,False,101,"[0.9957842230796814, 7.884458597118282e-08, 4.466850214157603e-07]","[0.0033651425037533045, 5.190165029489435e-05, 0.9932379722595215]",contradiction,False,False,"[0.01735205389559269, 3.678963548736647e-05, 0.9774634838104248]"
320,1,neutral,contradiction,contradiction,entailment,True,0.9653513431549072,False,False,132,"[9.353459972771816e-06, 1.6901357184906374e-06, 0.998362123966217]","[0.9062678217887878, 0.02959069237112999, 0.033010803163051605]",entailment,False,False,"[0.9051446318626404, 0.030019428580999374, 0.03348909318447113]"
